business_id,business_name,business_address,recent_score,recent_risk,average_score,minimum_score,maximum_score
93250,Joe & The Juice 2213 Fillmore,2213 Fillmore St,90.0,Moderate Risk,90.0,90.0,90.0
93281,Sip N Slurp,760 Head St,100.0,Low Risk,99.33333333333333,98.0,100.0
93289,Bluestone Lane,227 Front St,83.0,Moderate Risk,83.0,83.0,83.0
93298,Big Fish Little Fish Poke,845 Market St FE2,94.0,Moderate Risk,89.33333333333333,87.0,94.0
93305,Soul Bowl'z,103 Horn Ave,96.0,Low Risk,96.0,96.0,96.0
93306,My Cup of Tea,2666 Ocean Ave,96.0,Low Risk,96.0,96.0,96.0
93309,Pizza Squared,885 Brannan St #B3,86.0,Moderate Risk,86.0,86.0,86.0
93314,Bizza,1463 Haight St,100.0,,100.0,100.0,100.0
93336,Thai Idea Vegetarian,710 Polk St,88.0,Low Risk,88.0,88.0,88.0
93361,Las Palmas on SF,5251 3rd St.,88.0,Moderate Risk,88.85714285714286,88.0,90.0
93384,Cochinita #2,428 11th St,90.0,Moderate Risk,90.0,90.0,90.0
93393,Hidden Star Orchards,1 Ferry Building  Suite 50,100.0,,100.0,100.0,100.0
93401,Native Burger,3420 Geary Blvd,90.0,Moderate Risk,90.0,90.0,90.0
93422,Subway #28285,408 Montgomery St,93.0,High Risk,93.0,93.0,93.0
93423,Obour Foods,1501 Cortland Ave.,100.0,,100.0,100.0,100.0
93426,Sean's Market Cafe,3558 23 St,83.0,High Risk,83.0,83.0,83.0
93428,Tuba Restaurant,1007 Guerrero St.,89.0,Low Risk,89.0,89.0,89.0
93460,Che Fico Alimentari,834 Divisadero St,96.0,Moderate Risk,96.0,96.0,96.0
93469,Marugame Udon,3251 20th Ave,94.0,Low Risk,94.0,94.0,94.0
93473,Goeman,1524 Irving St,98.0,Low Risk,98.0,98.0,98.0
93484,Cardona's Food Truck,2430 Whipple Rd,89.0,Moderate Risk,89.0,89.0,89.0
93492,Centro Latino de SF at the Star Hotel,2176 Mission St.,100.0,Moderate Risk,98.0,96.0,100.0
93496,Old Jerusalem Restaurant Inc,2966 Mission St.,90.0,Moderate Risk,90.0,90.0,90.0
93500,Outer Orbit,3215 Mission St.,100.0,,100.0,100.0,100.0
93501,Humphrey Slocombe Ice Cream,"3450 3rd St., Suite 4E",100.0,,100.0,100.0,100.0
93502,Smoky Man,1310 Noriega St,100.0,,100.0,100.0,100.0
93533,Lifeworks @ Levi's,1155 Battery St,86.0,High Risk,86.0,86.0,86.0
93536,Nook,1500 Hyde St,94.0,Moderate Risk,95.0,94.0,96.0
93546,Epic Bites Catering,1851 Noriega St,100.0,,100.0,100.0,100.0
93549,General Tso Kitchen Inc,3741 Geary Blvd,81.0,Low Risk,83.5,81.0,96.0
93559,Cilantro SF Taqueria,2257 Mason St,90.0,Moderate Risk,90.0,90.0,90.0
93561,Papito,317 Connecticut St,87.0,Low Risk,87.0,87.0,87.0
93572,Twenty Five Lusk (Roof Extension),25 Lusk St,92.0,Moderate Risk,92.0,92.0,92.0
93573,The Snug,2301 Fillmore St,90.0,Moderate Risk,84.28571428571429,80.0,90.0
93607,Boos Voni,5170 Mission St,84.0,Moderate Risk,85.77777777777777,84.0,88.0
93615,SF International HS/New School of SF,655 De Haro St,100.0,High Risk,93.5,89.0,100.0
93618,A Girl Named Pinky,2948 Folsom St,100.0,,100.0,100.0,100.0
93623,Earth's Coffee,3400 Geary Blvd,94.0,Moderate Risk,94.0,94.0,94.0
93636,Rooster & Rice III,125 Kearny St,96.0,Low Risk,96.0,96.0,96.0
93647,Borsch Mobile,103 Horne Ave,98.0,Low Risk,98.0,98.0,98.0
93777,Native Twins Coffee,262 Divisadero St,94.0,Low Risk,94.0,94.0,94.0
93815,Little Heaven Deli,2348 Mission Street,96.0,Moderate Risk,96.0,96.0,96.0
93822,Gio Gelati,1998 Union St,96.0,Moderate Risk,96.0,96.0,96.0
93835,Japanese House,480 6th St,82.0,Low Risk,82.0,82.0,82.0
93855,WPizza,170 O'Farrell St,96.0,Low Risk,96.0,96.0,96.0
93883,Doughp,Pier 39  Space D-13,94.0,Low Risk,95.0,94.0,98.0
93888,505 Pinterest Dining Garage Level Kitchen and 2nd Floor Staging,505 Brannan St Garage Level,89.0,Moderate Risk,89.0,89.0,89.0
